CF3,CF9,CF11,CF12,CF14,REV1_1,REV2_1
13748.2568822554,12328.6173450209,14213.2099557767,13704.8211359867,12072.247002685,9976.19316670615,9643.22719853115
13747.0187929125,12329.6268493909,14211.2104698624,13702.8102634077,12071.1254405948,9972.44379647208,9641.57899738966
13745.6907344901,12330.6398605499,14208.9606374297,13700.7834862531,12070.2923500515,9969.14207075509,9639.91928333729
13744.3397896825,12331.642247619,14206.4269793651,13698.7708424603,12069.76785,9966.38441904762,9638.22290833333
13742.9317894904,12332.5988918038,14203.7217513316,13696.7193882662,12069.5431409492,9964.17356347882,9636.46584704667
13741.4512808568,12333.4285328078,14200.9971603759,13694.6741415831,12069.5215074056,9962.43419453735,9634.68271102086
13739.9214365478,12333.989730398,14198.4031147803,13692.6823211295,12069.6443359655,9960.99412698413,9632.87867352636
13738.3082833973,12334.2019922499,14196.1394107542,13690.6290943592,12069.9103827101,9959.61087448066,9631.20655880473
13736.6232196879,12334.0889795918,14194.4053253301,13688.4387619048,12070.2580132053,9958.27483313325,9629.78360184074
13734.9591498317,12333.6649082091,14193.1686459836,13686.2568759019,12070.6485048902,9956.98821669072,9628.63081729998
13733.4221271983,12332.8946828074,14192.2573552558,13684.2448867743,12071.0799931743,9955.7805392275,9627.64377941058
13732.0827879665,12331.8209391088,14191.4991859717,13682.4358289093,12071.4217394627,9954.83048584299,9626.76549147362
13730.9259334461,12330.4667883329,14190.7651764564,13680.7865176054,12071.5349528644,9954.1943429216,9625.95993755539
13729.8608470541,12328.8015799031,14190.0215597256,13679.3213301049,12071.3891856336,9953.86981396288,9625.27373567393
13728.8034081171,12326.8573809524,14189.343797801,13678.058765462,12070.9633810332,9953.7265914787,9624.72217964266
13727.6944395854,12324.7632122611,14188.7513767412,13676.9679486557,12070.2343687237,9953.81697886298,9624.38369088111
13726.5021517806,12322.5706092318,14188.2277995457,13676.0888659041,12069.2845631541,9954.08888496796,9624.24617993024
13725.1641812937,12320.2848431659,14187.7454457175,13675.5594791159,12068.1900987323,9954.49108808711,9624.23480091013
13723.6325225885,12317.9755331705,14187.2451412291,13675.4647317867,12066.939991453,9954.86800407,9624.29196499797
13721.910496983,12315.7422447815,14186.6580524299,13675.8039098174,12065.5543166993,9955.15056547619,9624.50088755708
13720.0184260394,12313.6514975905,14185.9466609491,13676.5318737238,12064.0720481091,9955.39763048273,9624.98239442947
13717.9494743086,12311.7852237768,14185.0682531501,13677.6297676321,12062.4647917689,9955.64210603829,9625.67649525446
13715.7687644455,12310.2760437669,14184.0916670765,13679.1538242767,12060.7238316531,9956.16523727563,9626.5670035243
13713.5859228243,12309.1950496716,14183.1108144499,13681.0875172414,12058.9178374384,9957.17771839081,9627.67636412151
13711.3570079776,12308.4828538531,14182.1051431039,13683.261167448,12057.1288259725,9958.77162266634,9628.93507360803
13708.9668306146,12308.0472927995,14181.0493845774,13685.5499724007,12055.4565904597,9960.9172932114,9630.30209836876
